Codigo Boleto ;Data Venc;EMPRESA;Final
411019;7/10;ZANCHETTA; R$ 4.110,19 
208822;7/10;COCA; R$ 2.088,22 
195272;7/10;CRIAR-TE; R$ 1.952,72 
170350;7/10;ANDERSON HORTIFRUTI; R$ 1.703,50 
150016;7/10;PEPSICO; R$ 1.500,16 
143166;7/10;LACTVIT; R$ 1.431,66 
106805;7/10;TIROL; R$ 1.068,05 
87040;7/10;SANT ANNA TILLVITZ; R$ 870,40 
76325;7/10;FRIGOESTRELA 2/3; R$ 763,25 
61662;7/10;ZARAGOZA 1/3; R$ 616,62 
48000;7/10;CARVAO BRASAO; R$ 480,00 
39587;7/10;M&F VIGOR; R$ 395,87 
35636;7/10;FRIGOESTRELA 2/3; R$ 356,36 
35418;7/10;GIANINA; R$ 354,18 
32984;7/10;CRIAR-TE; R$ 329,84 
762550;8/10;ZANCHETTA; R$ 7.625,50 
190190;8/10;SUNRISE ENERGY; R$ 1.901,90 
168037;8/10;JOTACE; R$ 1.680,37 
121364;8/10;SEARA; R$ 1.213,64 
115714;8/10;COMPRE FACIL; R$ 1.157,14 
85028;8/10;MARTINS 2/3; R$ 850,28 
59425;8/10;JBS 2/3; R$ 594,25 
55584;8/10;FFRR DISTRIB.; R$ 555,84 
22010;8/10;REBORDAM; R$ 220,10 
16904;8/10;BRF 3/3; R$ 169,04 
250584;9/10;ZARAGOZA; R$ 2.505,84 
213350;9/10;ANDERSON HORTIFRUTI; R$ 2.133,50 
99533;9/10;MINERVA; R$ 995,33 
98091;9/10;ARAUJO EMBALAGENS 2/3; R$ 980,91 
94652;9/10;FRIGOESTRELA; R$ 946,52 
85737;9/10;ZARAGOZA; R$ 857,37 
78262;9/10;FRIGOESTRELA; R$ 782,62 
73791;9/10;LACTVIT 4/4; R$ 737,91 
73769;9/10;TRIUNFANTE 1/3; R$ 737,69 
68599;9/10;FRIGOESTRELA; R$ 685,99 
45490;9/10;FONSECA & FILHO; R$ 454,90 
40405;9/10;SDB BATE FORTE 2/3; R$ 404,05 
38433;9/10;GIANINA; R$ 384,33 
32334;9/10;JBS 1/3; R$ 323,34 
29784;9/10;SITIO RECANTO; R$ 297,84 
29169;9/10;ARCOM 1/3; R$ 291,69 
23472;9/10;RENOVA(ACETONA,CREME DE LEITE); R$ 234,72 
19200;9/10;SERRA MINEIRA; R$ 192,00 
336561;10/10;PHILIP MORRIS; R$ 3.365,61 
161216;10/10;COMERCIAL ESPERANCA 3/3; R$ 1.612,16 
118483;10/10;CBB DISTRIB.; R$ 1.184,83 
107000;10/10;ZANCHETTA; R$ 1.070,00 
81180;10/10;NAPOLETA; R$ 811,80 
63421;10/10;M&F VIGOR; R$ 634,21 
61714;10/10;ARAUJO EMBALAGENS; R$ 617,14 
61435;10/10;TENDA; R$ 614,35 
61050;10/10;EXPERIMENTAL DANCE; R$ 610,50 
52880;10/10;SABOROSA; R$ 528,80 
43968;10/10;IPTU; R$ 439,68 
40889;10/10;ROGE SOLUCOES 1/2; R$ 408,89 
28255;10/10;TOPSERVICE; R$ 282,55 
6314;10/10;IPTU; R$ 63,14 
52493;11/10;MILLENIUM 1/3; R$ 524,93 
134376;13/10;BRF 3/3; R$ 1.343,76 
69550;13/10;CBB DISTRIB.; R$ 695,50 
42845;13/10;COMPRE FACIL 1/3; R$ 428,45 
37460;13/10;UNIVALE; R$ 374,60 
31474;13/10;SDB BATE FORTE 3/3; R$ 314,74 
111499;14/10;PEPSICO; R$ 1.114,99 
76325;14/10;FRIGOESTRELA 3/3; R$ 763,25 
61671;14/10;ZARAGOZA 2/3; R$ 616,71 
60260;14/10;SANTO EXPEDITO 1/3; R$ 602,60 
56921;14/10;PULMER; R$ 569,21 
36349;14/10;GIANINA 1/3; R$ 363,49 
35636;14/10;FRIGOESTRELA 3/3; R$ 356,36 
30768;14/10;ARCOM 2/3; R$ 307,68 
27832;14/10;GIANINA 1/2; R$ 278,32 
385563;15/10;R.S ENERGY; R$ 3.855,63 
174593;15/10;PETROPOLIS; R$ 1.745,93 
115714;15/10;COMPRE FACIL; R$ 1.157,14 
85028;15/10;MARTINS 3/3; R$ 850,28 
59443;15/10;JBS 3/3; R$ 594,43 
54867;15/10;FANTASTICO 1/3; R$ 548,67 
7237;15/10;PETROPOLIS; R$ 72,37 
98091;16/10;ARAUJO EMBALAGENS 3/3; R$ 980,91 
73768;16/10;TRIUNFANTE 2/3; R$ 737,68 
64639;16/10;MMD DISTRIB.; R$ 646,39 
40418;16/10;SDB BATE FORTE 3/3; R$ 404,18 
38822;16/10;SALVATI; R$ 388,22 
38434;16/10;GIANINA; R$ 384,34 
32333;16/10;JBS 2/3; R$ 323,33 
72225;17/10;VALE DOURO; R$ 722,25 
51600;17/10;VELAS SANTA MARIA; R$ 516,00 
47882;17/10;ARCOM 2/3; R$ 478,82 
40889;17/10;ROGE SOLUCOES 2/2; R$ 408,89 
46450;18/10;LUZ CECILIA; R$ 464,50 
9268;18/10;LUZ 449; R$ 92,68 
164228;20/10;SEARA; R$ 1.642,28 
110000;20/10;GUEDES E CRUZ  02/17; R$ 1.100,00 
53310;20/10;FFRR DISTRIB.; R$ 533,10 
50255;20/10;JOSE CEZAR BRINQUEDOS; R$ 502,55 
42846;20/10;COMPRE FACIL 2/3; R$ 428,46 
124455;21/10;BEATRIZ RIBEIRO JF DOCES; R$ 1.244,55 
61671;21/10;ZARAGOZA 3/3; R$ 616,71 
60260;21/10;SANTO EXPEDITO 2/3; R$ 602,60 
52493;21/10;MILLENIUM 2/3; R$ 524,93 
36350;21/10;GIANINA 2/3; R$ 363,50 
27832;21/10;GIANINA 2/2; R$ 278,32 
54867;22/10;FANTASTICO 2/3; R$ 548,67 
43851;22/10;TRIUNFANTE; R$ 438,51 
40882;22/10;REBORDAM; R$ 408,82 
172425;23/10;JOTACE; R$ 1.724,25 
120000;23/10;ALHO; R$ 1.200,00 
73768;23/10;TRIUNFANTE 3/3; R$ 737,68 
32343;23/10;JBS 3/3; R$ 323,43 
29169;24/10;ARCOM 2/3; R$ 291,69 
54500;25/10;EXPERIMENTAL DANCE; R$ 545,00 
28933;26/10;SERGIO TADEU; R$ 289,33 
385563;27/10;R.S ENERGY; R$ 3.855,63 
42846;27/10;COMPRE FACIL 3/3; R$ 428,46 
60260;28/10;SANTO EXPEDITO 3/3; R$ 602,60 
36361;28/10;GIANINA 3/3; R$ 363,61 
54866;29/10;FANTASTICO 3/3; R$ 548,66 
30770;29/10;ARCOM 3/3; R$ 307,70 
52495;31/10;MILLENIUM 3/3; R$ 524,95 
47883;3/11;ARCOM 3/3; R$ 478,83 
580511;5/11;KAIROS; R$ 5.805,11 
119385;5/11;UNIMED; R$ 1.193,85 
195272;7/11;CRIAR-TE; R$ 1.952,72 
32984;7/11;CRIAR-TE; R$ 329,84 
61050;10/11;EXPERIMENTAL DANCE; R$ 610,50 
43968;10/11;IPTU; R$ 439,68 
29169;10/11;ARCOM 3/3; R$ 291,69 
6314;10/11;IPTU; R$ 63,14 
385563;15/11;R.S ENERGY; R$ 3.855,63 
110000;20/11;GUEDES E CRUZ  03/17; R$ 1.100,00 
54500;25/11;EXPERIMENTAL DANCE; R$ 545,00 
28934;26/11;SERGIO TADEU; R$ 289,34 
385563;27/11;R.S ENERGY; R$ 3.855,63 
580511;5/12;KAIROS; R$ 5.805,11 
124705;5/12;UNIMED; R$ 1.247,05 
195272;7/12;CRIAR-TE; R$ 1.952,72 
32984;7/12;CRIAR-TE; R$ 329,84 
61050;10/12;EXPERIMENTAL DANCE; R$ 610,50 
43968;10/12;IPTU; R$ 439,68 
6314;10/12;IPTU; R$ 63,14 
385563;15/12;R.S ENERGY; R$ 3.855,63 
110000;20/12;GUEDES E CRUZ  04/17; R$ 1.100,00 
385563;27/12;R.S ENERGY; R$ 3.855,63 
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
